Trump,Harris,States,Votes,Source,Date__latest_poll
0.630,0.370,Alabama,9,FiveThirtyEight,forecast_2024-09-13_noPollYet
0.470,0.420,Alaska,3,270towin,2024-09-13
0.472,0.468,Arizona,11,270towin,2024-09-19
0.550,0.400,Arkansas,6,270towin,2024-09-13
0.325,0.600,California,54,270towin,2024-09-19
0.420,0.530,Colorado,10,270towin,2024-09-19
0.402,0.598,Connecticut,7,FiveThirtyEight,forecast_2024-09-13_noPollYet
0.410,0.590,Delaware,3,FiveThirtyEight,forecast_2024-09-13_noPollYet
0.072,0.928,District of Columbia,3,FiveThirtyEight,forecast_2024-09-13_noPollYet
0.500,0.453,Florida,30,270towin,2024-09-19
0.480,0.464,Georgia,16,270towin,2024-09-19
0.357,0.643,Hawaii,4,FiveThirtyEight,forecast_2024-09-13_noPollYet
0.656,0.344,Idaho,4,FiveThirtyEight,forecast_2024-09-13_noPollYet
0.420,0.580,Illinois,19,FiveThirtyEight,2024-08-29
0.570,0.400,Indiana,11,270towin,2024-09-17
0.470,0.430,Iowa,6,270towin,2024-09-15
0.574,0.426,Kansas,6,FiveThirtyEight,forecast_2024-09-13_noPollYet
0.630,0.370,Kentucky,8,FiveThirtyEight,forecast_2024-09-13_noPollYet
0.593,0.407,Louisiana,8,FiveThirtyEight,forecast_2024-09-13_noPollYet
0.410,0.540,Maine,4,270towin,2024-09-18
0.330,0.616,Maryland,10,270towin,2024-09-19
0.310,0.660,Massachusetts,11,270towin,2024-09-19
0.468,0.500,Michigan,15,270towin,2024-09-19
0.438,0.495,Minnesota,10,270towin,2024-09-19
0.583,0.418,Mississippi,6,FiveThirtyEight,forecast_2024-09-13_noPollYet
0.535,0.420,Missouri,10,270towin,2024-09-17
0.550,0.395,Montana,4,270towin,2024-09-05
0.579,0.378,Nebraska,5,270towin,2024-08-31
0.462,0.476,Nevada,6,270towin,2024-09-19
0.310,0.620,New Hampshire,4,270towin,2024-09-18
0.424,0.576,New Jersey,14,FiveThirtyEight,forecast_2024-09-13_noPollYet
0.417,0.500,New Mexico,5,270towin,2024-09-15
0.420,0.550,New York,28,270towin,2024-09-19
0.476,0.470,North Carolina,16,270towin,2024-09-19
0.668,0.332,North Dakota,3,FiveThirtyEight,forecast_2024-09-13_noPollYet
0.525,0.430,Ohio,17,270towin,2024-09-19
0.560,0.400,Oklahoma,7,270towin,2024-09-05
0.440,0.490,Oregon,8,270towin,2024-07-30
0.473,0.489,Pennsylvania,19,270towin,2024-09-19
0.380,0.580,Rhode Island,4,270towin,2024-09-18
0.559,0.441,South Carolina,9,FiveThirtyEight,forecast_2024-09-13_noPollYet
0.632,0.368,South Dakota,3,FiveThirtyEight,forecast_2024-09-13_noPollYet
0.630,0.370,Tennessee,11,FiveThirtyEight,2024-08-29
0.500,0.448,Texas,40,270towin,2024-09-19
0.600,0.280,Utah,6,270towin,2024-08-22
0.290,0.700,Vermont,3,270towin,2024-08-21
0.418,0.495,Virginia,13,270towin,2024-09-19
0.320,0.530,Washington,12,270towin,2024-09-12
0.610,0.340,West Virginia,4,270towin,2024-08-30
0.475,0.492,Wisconsin,10,270towin,2024-09-19
0.719,0.281,Wyoming,3,FiveThirtyEight,forecast_2024-09-13_noPollYet
