Trump,Biden,States,Votes
0.586,0.406,Alabama,9
0.527,0.450,Alaska,3
0.482,0.504,Arizona,11
0.565,0.419,Arkansas,6
0.342,0.639,California,55
0.446,0.535,Colorado,9
0.399,0.591,Connecticut,7
0.384,0.605,Delaware,3
0.058,0.908,District of Columbia,3
0.489,0.503,Florida,29
0.503,0.489,Georgia,16
0.325,0.657,Hawaii,4
0.620,0.351,Idaho,4
0.412,0.573,Illinois,20
0.560,0.427,Indiana,11
0.504,0.483,Iowa,6
0.549,0.433,Kansas,6
0.597,0.391,Kentucky,8
0.561,0.430,Louisiana,8
0.435,0.550,Maine,4
0.351,0.636,Maryland,10
0.331,0.653,Massachusetts,11
0.460,0.530,Michigan,16
0.453,0.532,Minnesota,10
0.554,0.438,Mississippi,6
0.542,0.444,Missouri,10
0.542,0.437,Montana,3
0.585,0.397,Nebraska,5
0.460,0.524,Nevada,6
0.457,0.533,New Hampshire,4
0.405,0.587,New Jersey,14
0.426,0.556,New Mexico,5
0.364,0.626,New York,29
0.494,0.499,North Carolina,15
0.604,0.370,North Dakota,3
0.493,0.497,Ohio,18
0.627,0.361,Oklahoma,7
0.418,0.559,Oregon,7
0.472,0.521,Pennsylvania,20
0.374,0.612,Rhode Island,4
0.536,0.456,South Carolina,9
0.594,0.391,South Dakota,3
0.576,0.414,Tennessee,11
0.515,0.476,Texas,38
0.570,0.398,Utah,6
0.337,0.634,Vermont,3
0.440,0.549,Virginia,13
0.372,0.607,Washington,12
0.660,0.322,West Virginia,5
0.465,0.525,Wisconsin,10
0.683,0.284,Wyoming,3
