date,m_above_NAP,warning_code,storm_name
12-02-2020,3.47,Y,
10-02-2020,3.34,Y,
08-01-2019,3.78,Y,Kroojanusvloed
04-01-2018,2.98,Y,mogelijk NIET opnemen
29-10-2017,3.63,Y,
14-01-2017,3.92,O,
26-12-2016,3.31,Y,bron: Eemskrant
11-01-2015,3.77,Y,
22-10-2014,4.02,O,
06-12-2013,4.82,R,Sint-Nicolaasvloed tij-1
06-12-2013,4.25,O,Sint-Nicolaasvloed tij-2
05-01-2012,3.40,Y,bron: Wikipedia
01-03-2008,3.70,Y,
09-11-2007,4.21,O,
18-03-2007,3.78,Y,
12-01-2007,3.78,Y,
01-11-2006,4.83,R,Allerheiligenvloed
09-02-2004,3.36,Y,
21-12-2003,3.06,Y,
28-10-2002,3.06,Y,
30-01-2000,3.83,O,
03-12-1999,3.66,Y,
05-02-1999,3.59,Y,tij-1
05-02-1999,3.49,Y,tij-2
30-10-1996,3.31,Y,
10-01-1995,4.04,O,
02-01-1995,3.66,Y,
14-03-1994,3.53,Y,
13-03-1994,3.54,Y,
31-01-1994,3.39,Y,
28-01-1994,4.25,O,tij-1
28-01-1994,3.66,Y,tij-2
20-12-1993,3.50,Y,
21-02-1993,3.30,Y,
23-01-1993,3.50,Y,
20-12-1991,3.38,Y,
12-12-1990,3.51,Y,
28-02-1990,3.87,O,
27-02-1990,3.92,O,Crocusstormvloed
14-02-1989,3.08,Y,
05-12-1988,3.01,Y,
04-01-1984,3.15,Y,
02-02-1983,3.88,O,
01-01-1982,3.30,Y,
16-12-1982,3.35,Y,
24-11-1981,3.91,O,tij-1
24-11-1981,3.85,O,tij-2
01-01-1981,3.37,Y,
20-04-1980,3.10,Y,
31-12-1977,3.96,O,
15-11-1977,3.25,Y,
22-01-1976,3.46,Y,
21-01-1976,4.08,O,
04-01-1976,4.35,O,
03-01-1976,4.06,O,
14-12-1973,3.99,O,
06-12-1973,3.73,Y,
19-11-1973,4.19,O,
16-11-1973,3.56,Y,
13-11-1973,3.57,Y,
22-11-1971,3.22,Y,
04-11-1970,3.20,Y,
01-03-1967,3.46,Y,
23-02-1967,3.49,Y,
01-12-1966,3.27,Y,
11-12-1965,3.26,Y,
13-02-1965,3.35,Y,
03-12-1964,3.05,Y,
17-02-1962,3.49,Y,
16-02-1962,4.46,O,
21-03-1961,3.25,Y,
10-01-1958,3.20,Y,bewakinsgpeil nu: 3.00
23-12-1954,3.23,Y,
22-12-1954,3.93,O,
01-02-1953,3.27,Y,lager dan grenspeil van toen: 3.34
04-12-1949,3.19,Y,
04-02-1944,4.48,O,
08-04-1943,3.53,Y,
18-10-1941,3.32,Y,
01-12-1936,3.50,Y,
18-10-1936,3.45,Y,
23-11-1930,3.45,Y,
12-12-1929,3.68,Y,
26-11-1928,3.45,Y,
10-10-1926,3.51,Y,
03-01-1922,3.38,Y,
02-11-1921,3.54,Y,
03-12-1917,3.65,Y,
02-12-1917,3.82,O,
13-01-1916,4.32,O,
18-09-1914,3.66,Y,
13-03-1906,4.51,O,
07-01-1905,3.53,Y,
30-12-1904,3.48,Y,
28-01-1901,4.53,O,
02-01-1855,4.05,O,
04-02-1825,4.60,O,
